,Academic researcher,Blockchain,Cloud infrastructure engineer,Data or business analyst,Data scientist or machine learning specialist,DevOps specialist,Developer_back-end,Developer_desktop or enterprise applications,Developer_embedded applications or devices,Developer_front-end,Developer_full-stack,Developer_game or graphics,Developer_mobile,Engineer_data,Engineer_site reliability,Scientist,full_stack_.NET,full_stack_Java,full_stack_.JavaScript,full_stack_PHP,full_stack_python,back_end_Java,back_end_.JavaScript,back_end_.NET,back_end_C++,back_end_python,back_end_PHP
APL,4.064712042166196,0.8716016429144141,0.5481525826767428,1.2108098334187507,,,,,,,,,,,,1.70108236280075,,,,,,,,,,,
OCaml,3.027766011242121,2.613085189040828,,,,,,,,,,0.6035900522521558,,,,0.5166192388108679,,,,,,,,,1.274994150916105,,
MATLAB,2.782764682676093,,,,1.3494226231476372,,,,1.5201817693969932,,,,,,,3.160918830168132,,,,,,,,,,,
Julia,2.649901468350708,,,,1.883449855696317,,,,,,,,,,,3.486084132829302,,,,,,,,,,,
LISP,2.591479016645295,,,,0.7484521447504443,,,,1.7627085639404316,,,0.9344855373777524,,,0.7110802142810725,2.034375556783981,,,,,,,,,1.0199836797039117,,
Haskell,2.356517802360575,2.9634453682256754,,,0.6955552085099677,,,,,,,,,,,0.5050393716323501,,,,,,,,,1.522983599856147,0.6393205733871052,
Fortran,2.320042660987782,,,,,,,,,,,,,,,4.307768793897458,,,,,,,,,,,
Tidyverse,1.8448965062343956,,,2.0394968830048894,2.9950193795902025,,,,,,,,,0.7205719322532071,,2.3288696907966866,,,,,,,,,,,
R,1.806783390985408,,,2.2539886479051066,2.941389839508673,,,,,,,,,0.8631615695594936,,2.114020613888546,,,,,,,,,,,
RStudio,1.726667678400022,,,2.3785660922491565,2.982696313195276,,,,,,,,,0.8196787979275867,,2.030469715268797,,,,,,,,,,,
Torch/PyTorch,1.6596681483796836,,,,4.077134636270546,,,,,,,,,0.9556548792368124,,1.4550211717097563,,,,,,,,,,,
Emacs,1.6577915229568767,1.14858817297632,0.5737268671101835,,0.5744250973510225,,,,1.185971627058002,,,,,,1.489877387633685,2.082369641738784,,,,,,,,,1.024152341092924,0.5833527812688225,
NumPy,1.5641099920209327,,,1.1159761807552788,3.358773010614581,,,,,,,,,1.4163848590228545,,1.736863770193295,,,,,0.737353440263381,,,,,,
TensorFlow,1.427402408197903,,,0.7105081236105705,4.116473190447726,,,,,,,,,1.089195586345863,,1.2278942442182197,,,,,,,,,,,
Keras,1.4009097209659025,,,0.814057656613426,4.2157375455820665,,,,,,,,,0.9667832651771686,,1.213815966643791,,,,,,,,,,,
Scikit-learn,1.3759662127090289,,,1.1063279271087367,3.950639578063642,,,,,,,,,1.225140407460892,,1.4737498579764816,,,,,,,,,,,
GTK,1.323896218596987,,,,,,,0.5596833626937611,3.5381713878848062,,,1.198982106469906,,,,1.2788057000665776,,,,,,,,,1.1482181927066335,,
Spyder,1.2405365477008976,,,2.4596176358152158,2.952187033863483,,,,,,,,,1.26353058747365,,1.8898185075300027,,,,,,,,,,,
Pandas,1.1932464730886296,,,1.5327364275135371,3.3467179122851616,,,,,,,,,1.916147497131044,,1.2226187702553002,,,,,0.7462013988152687,,,,,,
Hugging Face Transformers,1.165660891402264,,,,4.610002539901281,,,,,,,,,0.7334290894184371,,0.7752206357891125,,,,,,,,,,,
IPython/Jupyter,1.1511426623033698,,,1.6574058382846275,3.5529095778147344,,,,,,,,,1.6229989053380007,,1.3331926189467924,,,,,,,,,,,
TextMate,0.9604751751033234,,,,,0.9956911666502072,,,,,,0.5913382293013459,2.7751315298607118,,,,,,,0.5828609607874683,,0.7741057207012522,,,0.7346018980778569,0.6890541960357462,1.037337204588316
Qt,0.8858770727363482,,,,,,,1.307461915880496,3.725811980848656,,,1.8039369937422167,,,,1.243552184303237,,,,,,,,,,,
Assembly,0.837853520342509,,,,,,,,4.330707422390228,,,1.509945018987754,,,,,,,,,,,,,0.7823292410658843,,
IBM Cloud or Watson,0.7920891906850651,1.4699746457624292,1.7561893998416436,1.728283800934323,1.565056760105242,,,,,,,,,,0.9572887218702938,,,,,,1.0248771638465048,,,,,,
C,0.6952032899057349,,,,,,,,4.344225595478485,,,1.0508173645812189,,,,0.5039963227528262,,,,,,,,,1.3770450410318766,,
C++,0.6144333563728144,,,,,,,0.7609417555388122,3.437541446625752,,,2.416331865540682,,,,0.7746870627973795,,,,,,,,,1.432092313148314,,
Python,0.5720052225105617,,,,1.9923951981894277,,,,0.7131960526776355,,,,,1.3257372168019772,,0.5677931391821179,,,,,2.4564292657347124,,,,,1.8916562035783109,
Solidity,,5.0598120872803865,,,,,,,,,,,,,,,,,,,,,,,,,
Flow,,3.725104080800192,,,,,,,,0.9331230699599268,,,1.904289814785427,,,,,,0.9216992014770836,,0.7832326440735214,,,,,,
Rust,,3.2587698765355,0.7084260789785224,,,,,,1.9344785128251936,,,1.1111542217550148,,,0.5575729213479758,,,,,,,,,,1.148448627557884,0.5700282066020813,
CouchDB,,2.87732519295164,,,,1.2519585965523463,,,,,,,,,0.9547599612920308,,,0.9059225542427876,0.9715508182531686,0.5823171694189265,0.7389533701932746,,0.7483345535716486,,,,0.634173211288909
Fastify,,2.1578530645967127,,,,,,,,0.9308989342134196,0.8835746138057989,,,,,,,0.660223556038569,2.437748105142622,1.1898232722249562,0.7180323519084776,,1.5021957551244551,,,,
Neovim,,1.753159595939075,1.0462844553670734,,,0.9707685500082942,,,1.2592719872755525,,,,,,1.715689306331122,,,,,,,,,,1.9684492964495368,0.8586826415832707,
Next.js,,1.706875400467566,,,,,,,,1.8924636698738315,0.8601474648564447,,,,,,,0.756727795517805,2.559769666645528,0.9391983079587668,1.104712974398841,,1.0153410461240095,,,,
DigitalOcean,,1.6497418572109874,,,,0.5269183026231212,,,,,0.50744713920004,,,,0.5999587344288734,,,,1.4661925133138405,1.4713678802768435,1.3099970606610107,,1.1711847867697616,,,0.7084385096116339,1.1390913488189338
Yarn,,1.5043540518438607,,,,,,,,1.446487608287616,0.7708094855422454,,,,,,,0.8232103549106589,2.37611191085563,0.9896595960062216,0.990886275073405,,1.6154032075455889,,,,
Colocation,,1.4110131634055156,1.4690630160019993,,,1.266587401204183,,,,,,,,,3.8836849210927737,,,,,,,,,,0.7163838409042707,,
Linode,,1.153412813591728,0.6315505689741813,,,0.6558080674120474,,,,,,,,,1.4898875887266965,,,,0.83771230590357,1.2241928708692214,1.2682723785642032,,0.9154385425818368,,1.0423001159285152,1.1466792614949108,0.8549470844688786
Atom,,1.1383646733286237,,0.5799489444888536,,,,,,,,,1.195077549254397,,,,,1.2183995079963983,,1.2240332319615714,1.158257081543821,0.7767205178851155,0.5653991587497539,,0.7441140138007948,0.542462283017078,1.4618453837086482
CLion,,1.0696247475812366,,,,,,,3.1496423250548338,,,2.192462981412145,,,,,,,,,,0.5684776727751553,,,1.543231443551926,0.612413021800494,
Elixir,,0.9790062645636968,0.6946747466858131,,,,1.2354942127055992,,,,0.9568647197415228,,,,1.855989773008124,,,,1.1423734675775552,,0.6562727929421511,,1.063112607965453,,1.46713295723083,0.8135693265253096,
Homebrew,,0.9622860893799972,1.1512809706576996,,,,,,,,,,1.3166696116769796,,0.9597620045967432,,,0.5917752805080225,1.34718834273542,,0.8113438991655787,0.6724471820407798,1.2276254784688323,,0.6542567846766408,0.6133910868720854,
Deno,,0.9417548526095916,,,,,,,,1.5337869536806386,0.9316230018085118,,,,,,,0.9260216167588906,2.474809625319757,0.9983945200272712,0.9984011171288656,,1.5084013423509686,,,,
Gatsby,,0.9194602859554024,,,,,,,,2.32622095771889,0.8963084056583654,,,,,,,0.7276387190339331,2.518220500920496,1.19125166001986,1.342249976735422,,0.8041896274077595,,,,
Express,,0.8774409306077331,,,,,,,,1.1721179328727025,0.7961067505244921,,,,,,,0.8905533298502109,2.6345091123668194,1.1732709362801987,1.184839615391698,,1.7116116804695911,,,,
GoLand,,0.8439398351334642,2.0881497382596583,,,1.1364394020366666,0.6479387604201533,,,,,,,,2.0609650408488345,,,,,,,1.3481461083586472,0.710245136274616,,1.0370652429172649,1.246480600577061,0.6330622776441991
